INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00054900.00,CE      ,00003969.20,00003969.20,00003969.20,00003969.20,000000000000175,              035,              001,              001,        2060422.00,         138922.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00055100.00,CE      ,00003781.30,00003781.30,00003781.30,00003781.30,000000000000700,              035,              001,              001,        2060845.50,         132345.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00055300.00,CE      ,00003644.10,00003719.00,00003644.10,00003681.55,000000000000700,              070,              002,              002,        4128708.50,         257708.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00055500.00,CE      ,00003500.00,00003629.50,00003352.00,00003539.40,000000000036820,             1120,              032,              022,       66071671.75,        3911671.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00055500.00,PE      ,00000138.40,00000148.55,00000117.45,00000122.25,000000000132190,            35805,             1023,              649,     1991834708.50,        4657208.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00055700.00,CE      ,00003289.05,00003289.05,00003289.05,00003289.05,000000000000280,              035,              001,              001,        2064616.75,         115116.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00055700.00,PE      ,00000149.10,00000162.15,00000136.00,00000136.90,000000000009905,             2065,              059,              041,      115338641.25,         318141.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00055900.00,CE      ,00003028.70,00003075.70,00003028.70,00003054.20,000000000000350,              105,              003,              003,        6190051.00,         320551.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00056100.00,CE      ,00002885.05,00002885.05,00002885.05,00002885.05,000000000000455,              035,              001,              001,        2064476.75,         100976.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00056300.00,CE      ,00002770.00,00002790.00,00002751.60,00002751.60,000000000000420,              105,              003,              003,        6202406.00,         290906.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00056300.00,PE      ,00000216.05,00000236.45,00000195.00,00000203.95,000000000001890,              840,              024,              022,       47475606.50,         183606.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056500.00,CE      ,00002550.00,00002700.00,00002510.00,00002679.80,000000000005950,             1785,              051,              023,      105468202.00,        4615702.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00056500.00,PE      ,00000274.95,00000274.95,00000211.00,00000218.45,000000000073675,            49350,             1410,              808,     2799960376.50,       11685376.50
