INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,BHARTIARTL,25/11/2025,00002114.90,00002126.30,00002106.20,00002113.20,000000036412550,     8073776542.50,          3815200,             8032,             6528
FUTSTK    ,BHARTIARTL,30/12/2025,00002124.90,00002139.60,00002121.00,00002127.90,000000005978825,     1281880932.50,           601825,             1267,              967
FUTSTK    ,BHARTIARTL,27/01/2026,00002136.60,00002151.40,00002134.70,00002138.20,000000000292125,       74353935.00,            34675,              073,              072
FUTSTK    ,BHEL      ,25/11/2025,00000283.25,00000287.60,00000281.30,00000286.35,000000058910250,     2868814987.50,         10043250,             3826,             3427
FUTSTK    ,BHEL      ,30/12/2025,00000287.00,00000289.40,00000283.20,00000288.25,000000004205250,      528384806.25,          1837500,              700,              639
FUTSTK    ,BHEL      ,27/01/2026,00000285.15,00000291.45,00000285.15,00000289.85,000000000721875,       26591775.00,            91875,              035,              033
FUTSTK    ,BIOCON    ,25/11/2025,00000413.15,00000423.35,00000410.50,00000421.65,000000046337500,     4027611375.00,          9610000,             3844,             3254
FUTSTK    ,BIOCON    ,30/12/2025,00000415.40,00000426.30,00000414.00,00000424.75,000000004510000,      863000500.00,          2045000,              818,              734
FUTSTK    ,BIOCON    ,27/01/2026,00000418.00,00000428.15,00000418.00,00000426.85,000000000297500,       97521625.00,           230000,              092,              083
FUTSTK    ,BLUESTARCO,25/11/2025,00001773.40,00001804.00,00001766.10,00001789.00,000000001689025,      516275305.00,           288600,              888,              792
FUTSTK    ,BLUESTARCO,30/12/2025,00001780.00,00001805.00,00001780.00,00001793.20,000000000150475,      157482455.00,            87750,              270,              191
FUTSTK    ,BLUESTARCO,27/01/2026,00001792.80,00001804.90,00001792.80,00001800.00,000000000007150,        1754252.50,              975,              003,              003
FUTSTK    ,BPCL      ,25/11/2025,00000379.80,00000381.80,00000373.75,00000374.80,000000030049625,     2964857261.25,          7862475,             3981,             3600
FUTSTK    ,BPCL      ,30/12/2025,00000376.50,00000383.00,00000375.65,00000376.90,000000001364725,      475005176.25,          1254125,              635,              493
FUTSTK    ,BPCL      ,27/01/2026,00000381.80,00000383.85,00000377.50,00000377.50,000000000185650,       28543588.75,            75050,              038,              036
